obaf_number,source_af_type,number_arguments,cycle_probability,instance_number,beta,base_degree,semantics,reliability,number_of_agents,distribution_type,truth_extension,cosar_base_score,cosar_na_score,cosar_bayesian_score,wct_score,css_score
51,BA,10,0.3,15,,,PR,0.6,10,uniform,a1|a2|a3|a6|a7|a8,1,1,1,0,1
52,BA,10,0.3,15,,,PR,0.6,10,average,a1|a3|a4|a6|a7|a8,1,1,1,0,1
53,BA,10,0.3,15,,,PR,0.6,15,uniform,a1|a2|a3|a6|a7|a8,1,1,1,0,1
54,BA,10,0.3,15,,,PR,0.6,15,average,a1|a3|a4|a5|a8,1,1,1,0,1
55,BA,10,0.3,15,,,PR,0.6,20,uniform,a0|a4|a6|a7|a9,1,1,1,0,1
56,BA,10,0.3,15,,,PR,0.6,20,average,a0|a4|a6|a7|a9,1,1,1,0,1
57,BA,10,0.3,15,,,PR,0.6,25,uniform,a1|a2|a3|a6|a7|a8,1,1,1,0,1
58,BA,10,0.3,15,,,PR,0.6,25,average,a1|a3|a4|a6|a7|a8,1,1,1,0,1
59,BA,10,0.3,15,,,PR,0.6,30,uniform,a1|a3|a4|a6|a7|a8,1,1,1,0,1
60,BA,10,0.3,15,,,PR,0.6,30,average,a1|a2|a3|a6|a7|a8,1,1,1,0,1
61,BA,10,0.3,15,,,PR,0.7,5,uniform,a1|a3|a4|a5|a8,0,0,0,0,1
62,BA,10,0.3,15,,,PR,0.7,5,average,a1|a2|a3|a5|a8,1,1,1,0,1
63,BA,10,0.3,15,,,PR,0.7,10,uniform,a1|a2|a3|a6|a7|a8,1,1,1,0,1
64,BA,10,0.3,15,,,PR,0.7,10,average,a0|a4|a6|a7|a9,1,1,1,0,1
65,BA,10,0.3,15,,,PR,0.7,15,uniform,a0|a4|a6|a7|a9,1,1,1,0,1
66,BA,10,0.3,15,,,PR,0.7,15,average,a1|a3|a4|a5|a8,1,1,1,0,1
67,BA,10,0.3,15,,,PR,0.7,20,uniform,a0|a4|a6|a7|a9,1,1,1,0,1
68,BA,10,0.3,15,,,PR,0.7,20,average,a1|a3|a4|a5|a8,1,1,1,0,1
69,BA,10,0.3,15,,,PR,0.7,25,uniform,a1|a2|a3|a6|a7|a8,1,1,1,0,1
70,BA,10,0.3,15,,,PR,0.7,25,average,a1|a2|a3|a6|a7|a8,1,1,1,0,1
71,BA,10,0.3,15,,,PR,0.7,30,uniform,a0|a4|a6|a7|a9,1,1,1,0,1
72,BA,10,0.3,15,,,PR,0.7,30,average,a1|a2|a3|a6|a7|a8,1,1,1,0,1
73,BA,10,0.3,15,,,PR,0.8,5,uniform,a1|a2|a3|a5|a8,1,1,1,0,1
74,BA,10,0.3,15,,,PR,0.8,5,average,a1|a3|a4|a5|a8,1,1,1,0,1
75,BA,10,0.3,15,,,PR,0.8,10,uniform,a1|a3|a4|a6|a7|a8,1,1,1,0,1
76,BA,10,0.3,15,,,PR,0.8,10,average,a1|a3|a4|a5|a8,1,1,1,0,1
77,BA,10,0.3,15,,,PR,0.8,15,uniform,a1|a3|a4|a6|a7|a8,1,1,1,0,1
78,BA,10,0.3,15,,,PR,0.8,15,average,a1|a3|a4|a6|a7|a8,1,1,1,0,1
79,BA,10,0.3,15,,,PR,0.8,20,uniform,a1|a2|a3|a6|a7|a8,1,1,1,0,1
80,BA,10,0.3,15,,,PR,0.8,20,average,a0|a4|a6|a7|a9,1,1,1,0,1
81,BA,10,0.3,15,,,PR,0.8,25,uniform,a0|a4|a6|a7|a9,1,1,1,0,1
82,BA,10,0.3,15,,,PR,0.8,25,average,a1|a3|a4|a5|a8,1,1,1,0,1
83,BA,10,0.3,15,,,PR,0.8,30,uniform,a1|a3|a4|a5|a8,1,1,1,0,1
84,BA,10,0.3,15,,,PR,0.8,30,average,a1|a2|a3|a6|a7|a8,1,1,1,0,1
85,BA,10,0.3,15,,,PR,0.9,5,uniform,a1|a3|a4|a5|a8,1,1,1,0,1
86,BA,10,0.3,15,,,PR,0.9,5,average,a1|a3|a4|a5|a8,1,1,1,0,1
87,BA,10,0.3,15,,,PR,0.9,10,uniform,a0|a4|a6|a7|a9,1,1,1,0,1
88,BA,10,0.3,15,,,PR,0.9,10,average,a1|a2|a3|a5|a8,1,1,1,0,1
89,BA,10,0.3,15,,,PR,0.9,15,uniform,a1|a3|a4|a5|a8,1,1,1,0,1
90,BA,10,0.3,15,,,PR,0.9,15,average,a1|a3|a4|a5|a8,1,1,1,0,1
91,BA,10,0.3,15,,,PR,0.9,20,uniform,a1|a3|a4|a6|a7|a8,1,1,1,0,1
92,BA,10,0.3,15,,,PR,0.9,20,average,a1|a2|a3|a5|a8,1,1,1,0,1
93,BA,10,0.3,15,,,PR,0.9,25,uniform,a0|a4|a6|a7|a9,1,1,1,0,1
94,BA,10,0.3,15,,,PR,0.9,25,average,a1|a3|a4|a6|a7|a8,1,1,1,0,1
95,BA,10,0.3,15,,,PR,0.9,30,uniform,a0|a4|a6|a7|a9,1,1,1,0,1
96,BA,10,0.3,15,,,PR,0.9,30,average,a1|a2|a3|a5|a8,1,1,1,0,1
97,BA,10,0.3,15,,,PR,1.0,5,uniform,a1|a2|a3|a6|a7|a8,1,1,1,0,1
98,BA,10,0.3,15,,,PR,1.0,5,average,a1|a2|a3|a5|a8,1,1,1,0,1
99,BA,10,0.3,15,,,PR,1.0,10,uniform,a1|a3|a4|a5|a8,1,1,1,0,1
100,BA,10,0.3,15,,,PR,1.0,10,average,a1|a3|a4|a6|a7|a8,1,1,1,0,1
101,BA,10,0.3,15,,,PR,1.0,15,uniform,a1|a3|a4|a5|a8,1,1,1,0,1
102,BA,10,0.3,15,,,PR,1.0,15,average,a1|a3|a4|a5|a8,1,1,1,0,1
103,BA,10,0.3,15,,,PR,1.0,20,uniform,a1|a2|a3|a5|a8,1,1,1,0,1
104,BA,10,0.3,15,,,PR,1.0,20,average,a1|a3|a4|a5|a8,1,1,1,0,1
105,BA,10,0.3,15,,,PR,1.0,25,uniform,a1|a2|a3|a5|a8,1,1,1,0,1
106,BA,10,0.3,15,,,PR,1.0,25,average,a1|a2|a3|a6|a7|a8,1,1,1,0,1
107,BA,10,0.3,15,,,PR,1.0,30,uniform,a1|a3|a4|a5|a8,1,1,1,0,1
108,BA,10,0.3,15,,,PR,1.0,30,average,a1|a3|a4|a5|a8,1,1,1,0,1
109,BA,10,0.3,15,,,CO,0.2,5,uniform,a1|a2|a3|a8,0,0,0,0,0
110,BA,10,0.3,15,,,CO,0.2,5,average,a6|a7,0,0,0,0,0
111,BA,10,0.3,15,,,CO,0.2,10,uniform,a4|a6|a7,0,0,0,0,0
112,BA,10,0.3,15,,,CO,0.2,10,average,a1|a3|a5|a8,0,0,0,0,0
113,BA,10,0.3,15,,,CO,0.2,15,uniform,a1|a3|a8,0,0,0,0,0
114,BA,10,0.3,15,,,CO,0.2,15,average,a0|a4|a6|a7|a9,0,0,0,0,0
115,BA,10,0.3,15,,,CO,0.2,20,uniform,a1|a3|a4|a8,0,0,0,0,0
116,BA,10,0.3,15,,,CO,0.2,20,average,a0|a4|a6|a7|a9,0,0,0,0,0
117,BA,10,0.3,15,,,CO,0.2,25,uniform,a1|a3|a8,0,0,0,0,0
118,BA,10,0.3,15,,,CO,0.2,25,average,a1|a2|a3|a8,0,0,0,0,0
119,BA,10,0.3,15,,,CO,0.2,30,uniform,a1|a2|a3|a5|a8,0,0,0,0,0
120,BA,10,0.3,15,,,CO,0.2,30,average,a4,0,0,0,0,0
121,BA,10,0.3,15,,,CO,0.3,5,uniform,a4|a6|a7,0,0,0,0,0
122,BA,10,0.3,15,,,CO,0.3,5,average,a4|a6|a7,0,0,0,0,0
123,BA,10,0.3,15,,,CO,0.3,10,uniform,a1|a3|a8,0,0,0,0,0
124,BA,10,0.3,15,,,CO,0.3,10,average,a4,0,0,0,0,0
125,BA,10,0.3,15,,,CO,0.3,15,uniform,a4|a6|a7,0,0,0,0,0
126,BA,10,0.3,15,,,CO,0.3,15,average,a1|a3|a4|a8,0,0,0,0,0
127,BA,10,0.3,15,,,CO,0.3,20,uniform,a6|a7,0,0,0,0,0
128,BA,10,0.3,15,,,CO,0.3,20,average,a1|a3|a8,0,0,0,0,0
129,BA,10,0.3,15,,,CO,0.3,25,uniform,,0,0,0,0,0
130,BA,10,0.3,15,,,CO,0.3,25,average,a1|a3|a4|a5|a8,0,0,0,0,0
131,BA,10,0.3,15,,,CO,0.3,30,uniform,a1|a3|a6|a7|a8,0,0,0,0,0
132,BA,10,0.3,15,,,CO,0.3,30,average,a0|a4|a6|a7|a9,0,0,0,0,0
133,BA,10,0.3,15,,,CO,0.4,5,uniform,a1|a3|a6|a7|a8,0,0,0,0,0
134,BA,10,0.3,15,,,CO,0.4,5,average,a4|a6|a7,0,0,0,0,0
135,BA,10,0.3,15,,,CO,0.4,10,uniform,a0|a4|a6|a7|a9,0,0,0,0,0
136,BA,10,0.3,15,,,CO,0.4,10,average,a1|a3|a6|a7|a8,0,0,0,0,0
137,BA,10,0.3,15,,,CO,0.4,15,uniform,a1|a2|a3|a5|a8,0,0,0,0,0
138,BA,10,0.3,15,,,CO,0.4,15,average,,0,0,0,0,0
139,BA,10,0.3,15,,,CO,0.4,20,uniform,a1|a3|a4|a5|a8,0,0,0,0,0
140,BA,10,0.3,15,,,CO,0.4,20,average,a1|a3|a4|a5|a8,0,0,0,0,0
141,BA,10,0.3,15,,,CO,0.4,25,uniform,a1|a3|a6|a7|a8,0,0,0,0,0
142,BA,10,0.3,15,,,CO,0.4,25,average,a1|a3|a5|a8,0,0,0,0,0
143,BA,10,0.3,15,,,CO,0.4,30,uniform,,0,0,0,0,0
144,BA,10,0.3,15,,,CO,0.4,30,average,a1|a2|a3|a8,0,0,0,0,0
145,BA,10,0.3,15,,,CO,0.5,5,uniform,a1|a2|a3|a5|a8,0,0,0,0,0
146,BA,10,0.3,15,,,CO,0.5,5,average,a0|a4|a6|a7|a9,0,0,0,0,0
147,BA,10,0.3,15,,,CO,0.5,10,uniform,a1|a3|a4|a6|a7|a8,0,0,0,0,0
148,BA,10,0.3,15,,,CO,0.5,10,average,a1|a2|a3|a6|a7|a8,0,0,0,0,0
149,BA,10,0.3,15,,,CO,0.5,15,uniform,a0|a4|a6|a7|a9,0,0,0,0,0
150,BA,10,0.3,15,,,CO,0.5,15,average,a1|a3|a6|a7|a8,0,0,0,0,0
151,BA,10,0.3,15,,,CO,0.5,20,uniform,a1|a3|a4|a8,0,0,0,0,0
152,BA,10,0.3,15,,,CO,0.5,20,average,a1|a2|a3|a6|a7|a8,0,0,0,0,0
153,BA,10,0.3,15,,,CO,0.5,25,uniform,a1|a2|a3|a8,0,0,0,0,0
154,BA,10,0.3,15,,,CO,0.5,25,average,a1|a2|a3|a5|a8,0,0,0,0,0
155,BA,10,0.3,15,,,CO,0.5,30,uniform,,0,0,0,0,0
156,BA,10,0.3,15,,,CO,0.5,30,average,a1|a3|a5|a8,0,0,0,0,0
157,BA,10,0.3,15,,,CO,0.6,5,uniform,,0,0,0,0,1
158,BA,10,0.3,15,,,CO,0.6,5,average,a1|a3|a4|a5|a8,0,0,0,0,0
159,BA,10,0.3,15,,,CO,0.6,10,uniform,a1|a3|a4|a6|a7|a8,0,0,0,0,1
160,BA,10,0.3,15,,,CO,0.6,10,average,a1|a3|a4|a8,0,0,0,0,1
161,BA,10,0.3,15,,,CO,0.6,15,uniform,a1|a2|a3|a8,0,0,0,0,1
162,BA,10,0.3,15,,,CO,0.6,15,average,a0|a4|a6|a7|a9,1,1,1,0,1
163,BA,10,0.3,15,,,CO,0.6,20,uniform,a6|a7,0,0,0,0,1
164,BA,10,0.3,15,,,CO,0.6,20,average,a1|a2|a3|a6|a7|a8,1,1,1,0,1
165,BA,10,0.3,15,,,CO,0.6,25,uniform,a1|a3|a4|a5|a8,1,1,1,0,1
166,BA,10,0.3,15,,,CO,0.6,25,average,a1|a3|a4|a8,0,0,0,0,1
167,BA,10,0.3,15,,,CO,0.6,30,uniform,a6|a7,0,0,0,0,1
168,BA,10,0.3,15,,,CO,0.6,30,average,a1|a3|a4|a6|a7|a8,1,1,1,0,1
169,BA,10,0.3,15,,,CO,0.7,5,uniform,a1|a3|a4|a8,0,0,0,0,1
170,BA,10,0.3,15,,,CO,0.7,5,average,a1|a2|a3|a5|a8,1,1,1,0,1
171,BA,10,0.3,15,,,CO,0.7,10,uniform,a1|a2|a3|a8,0,0,0,0,1
172,BA,10,0.3,15,,,CO,0.7,10,average,a1|a3|a4|a5|a8,1,1,1,0,1
173,BA,10,0.3,15,,,CO,0.7,15,uniform,a1|a3|a8,0,0,0,0,1
174,BA,10,0.3,15,,,CO,0.7,15,average,a1|a3|a4|a8,0,0,0,0,1
175,BA,10,0.3,15,,,CO,0.7,20,uniform,a1|a3|a6|a7|a8,0,0,0,0,1
176,BA,10,0.3,15,,,CO,0.7,20,average,a1|a2|a3|a6|a7|a8,1,1,1,0,1
177,BA,10,0.3,15,,,CO,0.7,25,uniform,a6|a7,0,0,0,0,1
178,BA,10,0.3,15,,,CO,0.7,25,average,,0,0,0,0,1
179,BA,10,0.3,15,,,CO,0.7,30,uniform,a1|a2|a3|a6|a7|a8,1,1,1,0,1
180,BA,10,0.3,15,,,CO,0.7,30,average,a1|a3|a4|a6|a7|a8,1,1,1,0,1
181,BA,10,0.3,15,,,CO,0.8,5,uniform,a1|a3|a5|a8,0,0,0,0,1
182,BA,10,0.3,15,,,CO,0.8,5,average,,0,0,0,0,1
183,BA,10,0.3,15,,,CO,0.8,10,uniform,a1|a3|a8,0,0,0,0,1
184,BA,10,0.3,15,,,CO,0.8,10,average,a1|a2|a3|a5|a8,1,1,1,0,1
185,BA,10,0.3,15,,,CO,0.8,15,uniform,a1|a2|a3|a5|a8,1,1,1,0,1
186,BA,10,0.3,15,,,CO,0.8,15,average,a1|a2|a3|a6|a7|a8,1,1,1,0,1
187,BA,10,0.3,15,,,CO,0.8,20,uniform,a1|a3|a6|a7|a8,0,0,0,0,1
188,BA,10,0.3,15,,,CO,0.8,20,average,a6|a7,0,0,0,0,1
189,BA,10,0.3,15,,,CO,0.8,25,uniform,a1|a3|a8,0,0,0,0,1
190,BA,10,0.3,15,,,CO,0.8,25,average,a1|a3|a5|a8,0,0,0,0,1
191,BA,10,0.3,15,,,CO,0.8,30,uniform,a4|a6|a7,0,0,0,0,1
192,BA,10,0.3,15,,,CO,0.8,30,average,a1|a3|a4|a6|a7|a8,1,1,1,0,1
193,BA,10,0.3,15,,,CO,0.9,5,uniform,,0,0,0,0,1
194,BA,10,0.3,15,,,CO,0.9,5,average,a1|a3|a4|a6|a7|a8,1,1,1,0,1
195,BA,10,0.3,15,,,CO,0.9,10,uniform,a1|a3|a6|a7|a8,0,0,0,0,1
196,BA,10,0.3,15,,,CO,0.9,10,average,a1|a3|a4|a6|a7|a8,1,1,1,0,1
197,BA,10,0.3,15,,,CO,0.9,15,uniform,,0,0,0,0,1
198,BA,10,0.3,15,,,CO,0.9,15,average,a1|a3|a6|a7|a8,0,0,0,0,1
199,BA,10,0.3,15,,,CO,0.9,20,uniform,a1|a2|a3|a6|a7|a8,1,1,1,0,1
200,BA,10,0.3,15,,,CO,0.9,20,average,a1|a3|a4|a5|a8,1,1,1,0,1
201,BA,10,0.3,15,,,CO,0.9,25,uniform,,0,0,0,0,1
202,BA,10,0.3,15,,,CO,0.9,25,average,a1|a2|a3|a8,0,0,0,0,1
203,BA,10,0.3,15,,,CO,0.9,30,uniform,a1|a3|a4|a5|a8,1,1,1,0,1
204,BA,10,0.3,15,,,CO,0.9,30,average,a1|a3|a5|a8,0,0,0,0,1
205,BA,10,0.3,15,,,CO,1.0,5,uniform,a1|a3|a4|a8,0,0,0,0,1
206,BA,10,0.3,15,,,CO,1.0,5,average,a1|a2|a3|a8,0,0,0,0,1
207,BA,10,0.3,15,,,CO,1.0,10,uniform,a1|a3|a4|a8,0,0,0,0,1
208,BA,10,0.3,15,,,CO,1.0,10,average,a1|a3|a4|a6|a7|a8,1,1,1,0,1
209,BA,10,0.3,15,,,CO,1.0,15,uniform,a1|a3|a5|a8,0,0,0,0,1
210,BA,10,0.3,15,,,CO,1.0,15,average,a1|a2|a3|a8,0,0,0,0,1
211,BA,10,0.3,15,,,CO,1.0,20,uniform,a1|a3|a4|a6|a7|a8,1,1,1,0,1
212,BA,10,0.3,15,,,CO,1.0,20,average,a1|a3|a8,0,0,0,0,1
213,BA,10,0.3,15,,,CO,1.0,25,uniform,a4,0,0,0,0,1
214,BA,10,0.3,15,,,CO,1.0,25,average,a1|a3|a4|a5|a8,1,1,1,0,1
215,BA,10,0.3,15,,,CO,1.0,30,uniform,a1|a3|a4|a5|a8,1,1,1,0,1
216,BA,10,0.3,15,,,CO,1.0,30,average,a1|a2|a3|a6|a7|a8,1,1,1,0,1
217,BA,10,0.3,2,,,PR,0.2,5,uniform,a0|a3|a4|a6|a7|a9,0,0,0,0,0
218,BA,10,0.3,2,,,PR,0.2,5,average,a3|a4|a6|a7|a8|a9,0,0,0,0,0
219,BA,10,0.3,2,,,PR,0.2,10,uniform,a3|a4|a6|a7|a8|a9,0,0,0,0,0
220,BA,10,0.3,2,,,PR,0.2,10,average,a3|a4|a5|a6|a7|a8,0,0,0,0,0
221,BA,10,0.3,2,,,PR,0.2,15,uniform,a0|a3|a4|a5|a6|a7,0,0,0,0,0
222,BA,10,0.3,2,,,PR,0.2,15,average,a0|a3|a4|a6|a7|a9,0,0,0,0,0
223,BA,10,0.3,2,,,PR,0.2,20,uniform,a3|a4|a6|a7|a8|a9,0,0,0,0,0
224,BA,10,0.3,2,,,PR,0.2,20,average,a3|a4|a6|a7|a8|a9,0,0,0,0,0
225,BA,10,0.3,2,,,PR,0.2,25,uniform,a0|a3|a4|a5|a6|a7,0,0,0,0,0
226,BA,10,0.3,2,,,PR,0.2,25,average,a0|a3|a4|a6|a7|a9,0,0,0,0,0
227,BA,10,0.3,2,,,PR,0.2,30,uniform,a0|a3|a4|a5|a6|a7,0,0,0,0,0
228,BA,10,0.3,2,,,PR,0.2,30,average,a0|a3|a4|a5|a6|a7,0,0,0,0,0
229,BA,10,0.3,2,,,PR,0.3,5,uniform,a0|a3|a4|a6|a7|a9,0,0,0,0,0
230,BA,10,0.3,2,,,PR,0.3,5,average,a0|a3|a4|a5|a6|a7,0,0,0,0,0
231,BA,10,0.3,2,,,PR,0.3,10,uniform,a3|a4|a6|a7|a8|a9,0,0,0,0,0
232,BA,10,0.3,2,,,PR,0.3,10,average,a0|a3|a4|a5|a6|a7,0,0,0,0,0
233,BA,10,0.3,2,,,PR,0.3,15,uniform,a0|a3|a4|a6|a7|a9,0,0,0,0,0
234,BA,10,0.3,2,,,PR,0.3,15,average,a0|a3|a4|a6|a7|a9,0,0,0,0,0
235,BA,10,0.3,2,,,PR,0.3,20,uniform,a3|a4|a5|a6|a7|a8,0,0,0,0,0
236,BA,10,0.3,2,,,PR,0.3,20,average,a3|a4|a6|a7|a8|a9,0,0,0,0,0
237,BA,10,0.3,2,,,PR,0.3,25,uniform,a3|a4|a5|a6|a7|a8,0,0,0,0,0
238,BA,10,0.3,2,,,PR,0.3,25,average,a0|a3|a4|a5|a6|a7,0,0,0,0,0
239,BA,10,0.3,2,,,PR,0.3,30,uniform,a0|a3|a4|a6|a7|a9,0,0,0,0,0
240,BA,10,0.3,2,,,PR,0.3,30,average,a0|a3|a4|a6|a7|a9,0,0,0,0,0
241,BA,10,0.3,2,,,PR,0.4,5,uniform,a0|a3|a4|a6|a7|a9,0,0,0,0,0
242,BA,10,0.3,2,,,PR,0.4,5,average,a3|a4|a5|a6|a7|a8,0,0,0,0,0
243,BA,10,0.3,2,,,PR,0.4,10,uniform,a3|a4|a5|a6|a7|a8,0,0,0,0,0
