obaf_number,source_af_type,number_arguments,cycle_probability,instance_number,beta,base_degree,semantics,reliability,number_of_agents,distribution_type,truth_extension,cosar_base_score,cosar_na_score,cosar_bayesian_score,wct_score,css_score
3040,BA,20,0.3,0,,,PR,0.3,10,average,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3041,BA,20,0.3,0,,,PR,0.3,15,uniform,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3042,BA,20,0.3,0,,,PR,0.3,15,average,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3043,BA,20,0.3,0,,,PR,0.3,20,uniform,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3044,BA,20,0.3,0,,,PR,0.3,20,average,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3045,BA,20,0.3,0,,,PR,0.3,25,uniform,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3046,BA,20,0.3,0,,,PR,0.3,25,average,a1|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3047,BA,20,0.3,0,,,PR,0.3,30,uniform,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3048,BA,20,0.3,0,,,PR,0.3,30,average,a1|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3049,BA,20,0.3,0,,,PR,0.4,5,uniform,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3050,BA,20,0.3,0,,,PR,0.4,5,average,a3|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3051,BA,20,0.3,0,,,PR,0.4,10,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3052,BA,20,0.3,0,,,PR,0.4,10,average,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3053,BA,20,0.3,0,,,PR,0.4,15,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3054,BA,20,0.3,0,,,PR,0.4,15,average,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3055,BA,20,0.3,0,,,PR,0.4,20,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3056,BA,20,0.3,0,,,PR,0.4,20,average,a3|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3057,BA,20,0.3,0,,,PR,0.4,25,uniform,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3058,BA,20,0.3,0,,,PR,0.4,25,average,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3059,BA,20,0.3,0,,,PR,0.4,30,uniform,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3060,BA,20,0.3,0,,,PR,0.4,30,average,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3061,BA,20,0.3,0,,,PR,0.5,5,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3062,BA,20,0.3,0,,,PR,0.5,5,average,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3063,BA,20,0.3,0,,,PR,0.5,10,uniform,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3064,BA,20,0.3,0,,,PR,0.5,10,average,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3065,BA,20,0.3,0,,,PR,0.5,15,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3066,BA,20,0.3,0,,,PR,0.5,15,average,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,1
3067,BA,20,0.3,0,,,PR,0.5,20,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3068,BA,20,0.3,0,,,PR,0.5,20,average,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3069,BA,20,0.3,0,,,PR,0.5,25,uniform,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,1
3070,BA,20,0.3,0,,,PR,0.5,25,average,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3071,BA,20,0.3,0,,,PR,0.5,30,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,1
3072,BA,20,0.3,0,,,PR,0.5,30,average,a3|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3073,BA,20,0.3,0,,,PR,0.6,5,uniform,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3074,BA,20,0.3,0,,,PR,0.6,5,average,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3075,BA,20,0.3,0,,,PR,0.6,10,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,0,0,0,0,1
3076,BA,20,0.3,0,,,PR,0.6,10,average,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3077,BA,20,0.3,0,,,PR,0.6,15,uniform,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3078,BA,20,0.3,0,,,PR,0.6,15,average,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3079,BA,20,0.3,0,,,PR,0.6,20,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3080,BA,20,0.3,0,,,PR,0.6,20,average,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3081,BA,20,0.3,0,,,PR,0.6,25,uniform,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,1
3082,BA,20,0.3,0,,,PR,0.6,25,average,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,1
3083,BA,20,0.3,0,,,PR,0.6,30,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3084,BA,20,0.3,0,,,PR,0.6,30,average,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3085,BA,20,0.3,0,,,PR,0.7,5,uniform,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3086,BA,20,0.3,0,,,PR,0.7,5,average,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3087,BA,20,0.3,0,,,PR,0.7,10,uniform,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3088,BA,20,0.3,0,,,PR,0.7,10,average,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3089,BA,20,0.3,0,,,PR,0.7,15,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3090,BA,20,0.3,0,,,PR,0.7,15,average,a1|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3091,BA,20,0.3,0,,,PR,0.7,20,uniform,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3092,BA,20,0.3,0,,,PR,0.7,20,average,a3|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3093,BA,20,0.3,0,,,PR,0.7,25,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3094,BA,20,0.3,0,,,PR,0.7,25,average,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3095,BA,20,0.3,0,,,PR,0.7,30,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3096,BA,20,0.3,0,,,PR,0.7,30,average,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3097,BA,20,0.3,0,,,PR,0.8,5,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3098,BA,20,0.3,0,,,PR,0.8,5,average,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3099,BA,20,0.3,0,,,PR,0.8,10,uniform,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3100,BA,20,0.3,0,,,PR,0.8,10,average,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3101,BA,20,0.3,0,,,PR,0.8,15,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3102,BA,20,0.3,0,,,PR,0.8,15,average,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3103,BA,20,0.3,0,,,PR,0.8,20,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3104,BA,20,0.3,0,,,PR,0.8,20,average,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3105,BA,20,0.3,0,,,PR,0.8,25,uniform,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3106,BA,20,0.3,0,,,PR,0.8,25,average,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3107,BA,20,0.3,0,,,PR,0.8,30,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3108,BA,20,0.3,0,,,PR,0.8,30,average,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3109,BA,20,0.3,0,,,PR,0.9,5,uniform,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3110,BA,20,0.3,0,,,PR,0.9,5,average,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3111,BA,20,0.3,0,,,PR,0.9,10,uniform,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3112,BA,20,0.3,0,,,PR,0.9,10,average,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3113,BA,20,0.3,0,,,PR,0.9,15,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3114,BA,20,0.3,0,,,PR,0.9,15,average,a3|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3115,BA,20,0.3,0,,,PR,0.9,20,uniform,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3116,BA,20,0.3,0,,,PR,0.9,20,average,a1|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3117,BA,20,0.3,0,,,PR,0.9,25,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3118,BA,20,0.3,0,,,PR,0.9,25,average,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3119,BA,20,0.3,0,,,PR,0.9,30,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3120,BA,20,0.3,0,,,PR,0.9,30,average,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3121,BA,20,0.3,0,,,PR,1.0,5,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3122,BA,20,0.3,0,,,PR,1.0,5,average,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3123,BA,20,0.3,0,,,PR,1.0,10,uniform,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3124,BA,20,0.3,0,,,PR,1.0,10,average,a1|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3125,BA,20,0.3,0,,,PR,1.0,15,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3126,BA,20,0.3,0,,,PR,1.0,15,average,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3127,BA,20,0.3,0,,,PR,1.0,20,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3128,BA,20,0.3,0,,,PR,1.0,20,average,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3129,BA,20,0.3,0,,,PR,1.0,25,uniform,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3130,BA,20,0.3,0,,,PR,1.0,25,average,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3131,BA,20,0.3,0,,,PR,1.0,30,uniform,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3132,BA,20,0.3,0,,,PR,1.0,30,average,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3133,BA,20,0.3,0,,,CO,0.2,5,uniform,a3|a4|a5|a6|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3134,BA,20,0.3,0,,,CO,0.2,5,average,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3135,BA,20,0.3,0,,,CO,0.2,10,uniform,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3136,BA,20,0.3,0,,,CO,0.2,10,average,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3137,BA,20,0.3,0,,,CO,0.2,15,uniform,a4|a5|a6|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3138,BA,20,0.3,0,,,CO,0.2,15,average,a1|a4|a5|a6|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3139,BA,20,0.3,0,,,CO,0.2,20,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3140,BA,20,0.3,0,,,CO,0.2,20,average,a3|a4|a5|a6|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3141,BA,20,0.3,0,,,CO,0.2,25,uniform,a1|a4|a5|a6|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3142,BA,20,0.3,0,,,CO,0.2,25,average,a4|a5|a6|a7|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3143,BA,20,0.3,0,,,CO,0.2,30,uniform,a3|a4|a5|a6|a7|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3144,BA,20,0.3,0,,,CO,0.2,30,average,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3145,BA,20,0.3,0,,,CO,0.3,5,uniform,a4|a5|a6|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3146,BA,20,0.3,0,,,CO,0.3,5,average,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3147,BA,20,0.3,0,,,CO,0.3,10,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3148,BA,20,0.3,0,,,CO,0.3,10,average,a3|a4|a5|a6|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3149,BA,20,0.3,0,,,CO,0.3,15,uniform,a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3150,BA,20,0.3,0,,,CO,0.3,15,average,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3151,BA,20,0.3,0,,,CO,0.3,20,uniform,a3|a4|a5|a6|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3152,BA,20,0.3,0,,,CO,0.3,20,average,a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3153,BA,20,0.3,0,,,CO,0.3,25,uniform,a1|a4|a5|a6|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3154,BA,20,0.3,0,,,CO,0.3,25,average,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3155,BA,20,0.3,0,,,CO,0.3,30,uniform,a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3156,BA,20,0.3,0,,,CO,0.3,30,average,a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3157,BA,20,0.3,0,,,CO,0.4,5,uniform,a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3158,BA,20,0.3,0,,,CO,0.4,5,average,a3|a4|a5|a6|a7|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3159,BA,20,0.3,0,,,CO,0.4,10,uniform,a1|a4|a5|a6|a7|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3160,BA,20,0.3,0,,,CO,0.4,10,average,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3161,BA,20,0.3,0,,,CO,0.4,15,uniform,a1|a4|a5|a6|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3162,BA,20,0.3,0,,,CO,0.4,15,average,a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3163,BA,20,0.3,0,,,CO,0.4,20,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3164,BA,20,0.3,0,,,CO,0.4,20,average,a1|a4|a5|a6|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3165,BA,20,0.3,0,,,CO,0.4,25,uniform,a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3166,BA,20,0.3,0,,,CO,0.4,25,average,a4|a5|a6|a7|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3167,BA,20,0.3,0,,,CO,0.4,30,uniform,a1|a4|a5|a6|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3168,BA,20,0.3,0,,,CO,0.4,30,average,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3169,BA,20,0.3,0,,,CO,0.5,5,uniform,a4|a5|a6|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3170,BA,20,0.3,0,,,CO,0.5,5,average,a3|a4|a5|a6|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3171,BA,20,0.3,0,,,CO,0.5,10,uniform,a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3172,BA,20,0.3,0,,,CO,0.5,10,average,a3|a4|a5|a6|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3173,BA,20,0.3,0,,,CO,0.5,15,uniform,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3174,BA,20,0.3,0,,,CO,0.5,15,average,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a18|a19,0,0,0,0,0
3175,BA,20,0.3,0,,,CO,0.5,20,uniform,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3176,BA,20,0.3,0,,,CO,0.5,20,average,a4|a5|a6|a8|a9|a10|a11|a13|a16|a18|a19,0,0,0,0,0
3177,BA,20,0.3,0,,,CO,0.5,25,uniform,a3|a4|a5|a6|a7|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3178,BA,20,0.3,0,,,CO,0.5,25,average,a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3179,BA,20,0.3,0,,,CO,0.5,30,uniform,a4|a5|a6|a9|a11|a13|a16|a18|a19,0,0,0,0,0
3180,BA,20,0.3,0,,,CO,0.5,30,average,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,0
3181,BA,20,0.3,0,,,CO,0.6,5,uniform,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,1
3182,BA,20,0.3,0,,,CO,0.6,5,average,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3183,BA,20,0.3,0,,,CO,0.6,10,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3184,BA,20,0.3,0,,,CO,0.6,10,average,a4|a5|a6|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,1
3185,BA,20,0.3,0,,,CO,0.6,15,uniform,a1|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3186,BA,20,0.3,0,,,CO,0.6,15,average,a4|a5|a6|a8|a9|a10|a11|a13|a16|a18|a19,0,0,0,0,1
3187,BA,20,0.3,0,,,CO,0.6,20,uniform,a4|a5|a6|a8|a9|a10|a11|a13|a16|a18|a19,0,0,0,0,1
3188,BA,20,0.3,0,,,CO,0.6,20,average,a4|a5|a6|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,1
3189,BA,20,0.3,0,,,CO,0.6,25,uniform,a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,1
3190,BA,20,0.3,0,,,CO,0.6,25,average,a4|a5|a6|a8|a9|a10|a11|a13|a16|a18|a19,0,0,0,0,1
3191,BA,20,0.3,0,,,CO,0.6,30,uniform,a1|a4|a5|a6|a7|a9|a11|a13|a16|a18|a19,0,0,0,0,1
3192,BA,20,0.3,0,,,CO,0.6,30,average,a3|a4|a5|a6|a7|a9|a11|a13|a16|a18|a19,0,0,0,0,1
3193,BA,20,0.3,0,,,CO,0.7,5,uniform,a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,1
3194,BA,20,0.3,0,,,CO,0.7,5,average,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a18|a19,0,0,0,0,1
3195,BA,20,0.3,0,,,CO,0.7,10,uniform,a4|a5|a6|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,1
3196,BA,20,0.3,0,,,CO,0.7,10,average,a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,0,0,0,0,1
3197,BA,20,0.3,0,,,CO,0.7,15,uniform,a1|a4|a5|a6|a7|a9|a11|a13|a16|a18|a19,0,0,0,0,1
3198,BA,20,0.3,0,,,CO,0.7,15,average,a4|a5|a6|a7|a9|a11|a13|a16|a18|a19,0,0,0,0,1
3199,BA,20,0.3,0,,,CO,0.7,20,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3200,BA,20,0.3,0,,,CO,0.7,20,average,a3|a4|a5|a6|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,1
3201,BA,20,0.3,0,,,CO,0.7,25,uniform,a3|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3202,BA,20,0.3,0,,,CO,0.7,25,average,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3203,BA,20,0.3,0,,,CO,0.7,30,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a18|a19,0,0,0,0,1
3204,BA,20,0.3,0,,,CO,0.7,30,average,a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,1
3205,BA,20,0.3,0,,,CO,0.8,5,uniform,a4|a5|a6|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,0
3206,BA,20,0.3,0,,,CO,0.8,5,average,a3|a4|a5|a6|a9|a11|a13|a16|a18|a19,0,0,0,0,1
3207,BA,20,0.3,0,,,CO,0.8,10,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3208,BA,20,0.3,0,,,CO,0.8,10,average,a4|a5|a6|a8|a9|a10|a11|a13|a16|a18|a19,0,0,0,0,1
3209,BA,20,0.3,0,,,CO,0.8,15,uniform,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3210,BA,20,0.3,0,,,CO,0.8,15,average,a4|a5|a6|a9|a11|a13|a16|a18|a19,0,0,0,0,1
3211,BA,20,0.3,0,,,CO,0.8,20,uniform,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3212,BA,20,0.3,0,,,CO,0.8,20,average,a3|a4|a5|a6|a7|a9|a11|a13|a16|a18|a19,0,0,0,0,1
3213,BA,20,0.3,0,,,CO,0.8,25,uniform,a4|a5|a6|a7|a9|a11|a13|a16|a18|a19,0,0,0,0,1
3214,BA,20,0.3,0,,,CO,0.8,25,average,a3|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3215,BA,20,0.3,0,,,CO,0.8,30,uniform,a4|a5|a6|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,1
3216,BA,20,0.3,0,,,CO,0.8,30,average,a3|a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3217,BA,20,0.3,0,,,CO,0.9,5,uniform,a4|a5|a6|a9|a11|a13|a16|a18|a19,0,0,0,0,1
3218,BA,20,0.3,0,,,CO,0.9,5,average,a1|a4|a5|a6|a7|a9|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3219,BA,20,0.3,0,,,CO,0.9,10,uniform,a1|a4|a5|a6|a7|a9|a11|a12|a13|a16|a18|a19,1,1,1,0,1
3220,BA,20,0.3,0,,,CO,0.9,10,average,a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,0,0,0,0,1
3221,BA,20,0.3,0,,,CO,0.9,15,uniform,a4|a5|a6|a8|a9|a10|a11|a12|a13|a16|a18|a19,0,0,0,0,1
3222,BA,20,0.3,0,,,CO,0.9,15,average,a3|a4|a5|a6|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,1
3223,BA,20,0.3,0,,,CO,0.9,20,uniform,a1|a4|a5|a6|a9|a11|a13|a16|a17|a18|a19,0,0,0,0,1
3224,BA,20,0.3,0,,,CO,0.9,20,average,a4|a5|a6|a9|a11|a12|a13|a16|a18|a19,0,0,0,0,1
3225,BA,20,0.3,0,,,CO,0.9,25,uniform,a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,0,0,0,0,1
3226,BA,20,0.3,0,,,CO,0.9,25,average,a1|a4|a5|a6|a8|a9|a10|a11|a13|a16|a17|a18|a19,1,1,1,0,1
3227,BA,20,0.3,0,,,CO,0.9,30,uniform,a3|a4|a5|a6|a8|a9|a10|a11|a13|a16|a18|a19,0,0,0,0,1
